X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de3962834ae451204ac9b,2017,8,33,1,13,3,3,03:00.0,8,3,32,7,3,3,13,2017
5d2de3962834ae451204ac9c,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ac9d,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aca5,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204acbf,2017,9,35,6,1,2,25,25:00.0,9,3,35,5,25,2,1,2017
5d2de3962834ae451204acca,2017,9,36,2,4,3,20,20:00.0,9,3,36,1,20,3,4,2017
5d2de3962834ae451204acd4,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204acdd,2017,5,20,1,14,4,54,54:00.0,5,2,19,7,54,4,14,2017
5d2de3962834ae451204acf4,2017,8,33,7,19,9,10,10:00.0,8,3,33,6,10,9,19,2017
5d2de3962834ae451204ad01,2017,3,12,1,19,3,28,28:00.0,3,1,11,7,28,3,19,2017
5d2de3962834ae451204ad05,2017,8,32,4,9,10,6,06:00.0,8,3,32,3,6,10,9,2017
5d2de3962834ae451204ad12,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ad14,2017,4,16,4,19,4,16,16:00.0,4,2,16,3,16,4,19,2017
5d2de3962834ae451204ad1d,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ad2d,2017,3,12,4,22,5,34,34:00.0,3,1,12,3,34,5,22,2017
5d2de3962834ae451204ad31,2017,2,8,2,20,1,37,37:00.0,2,1,8,1,37,1,20,2017
5d2de3972834ae451204ad42,2017,5,22,4,31,3,27,27:00.0,5,2,22,3,27,3,31,2017
5d2de3972834ae451204ad4c,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ad50,2017,3,9,5,2,4,10,10:00.0,3,1,9,4,10,4,2,2017
5d2de3972834ae451204ad67,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ad71,2017,3,10,6,10,5,1,01:00.0,3,1,10,5,1,5,10,2017
5d2de3972834ae451204ad7d,2017,4,15,4,12,2,47,47:00.0,4,2,15,3,47,2,12,2017
5d2de3972834ae451204ad82,2018,3,13,7,31,6,6,06:00.0,3,1,13,6,6,6,31,2018
5d2de3972834ae451204ad85,2017,12,52,7,30,3,52,52:00.0,12,4,52,6,52,3,30,2017
5d2de3972834ae451204ad94,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ad99,2018,2,7,1,18,4,22,22:00.0,2,1,7,7,22,4,18,2018
5d2de3972834ae451204ada2,2017,10,42,4,18,0,22,22:00.0,10,4,42,3,22,0,18,2017
5d2de3972834ae451204adb8,2017,12,49,5,7,8,26,26:00.0,12,4,49,4,26,8,7,2017
5d2de3972834ae451204adb9,2017,12,49,5,7,11,29,29:00.0,12,4,49,4,29,11,7,2017
5d2de3972834ae451204add4,2018,2,9,3,27,2,53,53:00.0,2,1,9,2,53,2,27,2018
5d2de3972834ae451204add5,2017,10,42,1,15,4,12,12:00.0,10,4,41,7,12,4,15,2017
5d2de3972834ae451204adda,2017,9,39,3,26,1,20,20:00.0,9,3,39,2,20,1,26,2017
5d2de3972834ae451204adde,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ade0,2018,2,7,4,14,2,3,03:00.0,2,1,7,3,3,2,14,2018
5d2de3972834ae451204ade3,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204adfb,2017,11,47,6,24,6,0,00:00.0,11,4,47,5,0,6,24,2017
5d2de3972834ae451204adfd,2017,11,45,4,8,2,2,02:00.0,11,4,45,3,2,2,8,2017
5d2de3972834ae451204adfe,2017,10,40,1,1,5,44,44:00.0,10,4,39,7,44,5,1,2017
5d2de3972834ae451204ae02,2018,2,7,7,17,5,14,14:00.0,2,1,7,6,14,5,17,2018
5d2de3972834ae451204ae03,2017,10,41,7,14,2,48,48:00.0,10,4,41,6,48,2,14,2017
5d2de3972834ae451204ae04,2017,11,45,6,10,0,52,52:00.0,11,4,45,5,52,0,10,2017
5d2de3972834ae451204ae0b,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ae20,2018,1,1,7,6,3,20,20:00.0,1,1,1,6,20,3,6,2018
5d2de3972834ae451204ae29,2018,1,2,5,11,0,50,50:00.0,1,1,2,4,50,0,11,2018
5d2de3972834ae451204ae47,2017,12,50,4,13,2,46,46:00.0,12,4,50,3,46,2,13,2017
5d2de3972834ae451204ae4f,2018,3,10,5,8,9,27,27:00.0,3,1,10,4,27,9,8,2018
5d2de3972834ae451204ae52,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ae54,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ae55,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ae5a,2017,12,52,1,24,1,19,19:00.0,12,4,51,7,19,1,24,2017
5d2de3972834ae451204ae5f,2017,12,51,3,19,3,34,34:00.0,12,4,51,2,34,3,19,2017
5d2de3972834ae451204ae61,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3972834ae451204ae64,2017,12,50,3,12,1,0,00:00.0,12,4,50,2,0,1,12,2017
5d2de3972834ae451204ae78,2017,10,42,3,17,3,46,46:00.0,10,4,42,2,46,3,17,2017
5d2de3972834ae451204ae80,2017,12,52,6,29,0,12,12:00.0,12,4,52,5,12,0,29,2017
5d2de3972834ae451204ae87,2017,12,48,7,2,8,43,43:00.0,12,4,48,6,43,8,2,2017
